transaction_id,account_id,timestamp,device_id,velocity_1h,velocity_24h,device_velocity_1h,ip_velocity_1h,device_distinct_accounts_before,amount_zscore,geo_jump_km,implied_speed_kmh,account_age_days,is_unusual_hour,is_new_device_for_account,is_new_geo,status_failed,label
txn_97fb6e65384a,acc_9c8d1c7091,2026-07-22 15:53:19.941186,dev_85d883906a31,0,0,0,0,0,0.0,0.0,0.0,98.34854220938658,0,1,0,0,ambiguous_legit_travel
txn_06f1753b7ade,acc_9c8d1c7091,2026-07-22 17:56:01.639215,dev_85d883906a31,0,1,0,0,1,0.0,5.838371918541637,2.8550667011812982,98.43374704768519,0,0,0,0,ambiguous_legit_travel
txn_0c98615b2153,acc_181ce95346,2026-07-24 00:01:11.188849,dev_3db37854d6fe,0,0,0,0,0,0.0,0.0,0.0,352.6332095956366,1,1,0,0,normal
txn_aa96c5c732d9,acc_0a97e7f100,2026-07-24 00:07:43.016218,dev_1297470ba2c8,0,0,0,0,0,0.0,0.0,0.0,89.5995232988426,1,1,0,0,normal
txn_393e4f6ea553,acc_ff575e4700,2026-07-24 00:18:05.287307,dev_6d8f478bd106,0,0,0,0,0,0.0,0.0,0.0,20.410453971030094,1,1,0,0,normal
txn_4fc8e2896960,acc_e8b21857bf,2026-07-24 00:27:37.516182,dev_02599fa00d30,0,0,0,0,0,0.0,0.0,0.0,35.589618316203705,1,1,0,0,normal
txn_b135d72d6882,acc_1dd78348e1,2026-07-24 00:27:48.915569,dev_2983efaaff82,0,0,0,0,0,0.0,0.0,0.0,256.4602349502315,1,1,0,0,normal
txn_598bcfb2dc31,acc_086f18e32b,2026-07-24 00:29:22.791452,dev_513b826fb68c,0,0,0,0,0,0.0,0.0,0.0,82.88395444060185,1,1,0,0,normal
txn_9b6743d1155b,acc_8ad570aebb,2026-07-24 00:29:51.735328,dev_6d08e19e741c,0,0,0,0,0,0.0,0.0,0.0,90.92225599534723,1,1,0,0,normal
txn_4a2cb4482430,acc_be40f82139,2026-07-24 00:35:13.388458,dev_d59005c10a20,0,0,0,0,0,0.0,0.0,0.0,283.8552715695139,1,1,0,0,normal
txn_4ec2c527efd9,acc_26937f134c,2026-07-24 00:35:37.406836,dev_7d18bd1d8089,0,0,0,0,0,0.0,0.0,0.0,198.33242550212964,1,1,0,0,normal
txn_b1f0931fe045,acc_18795a5307,2026-07-24 00:42:46.064257,dev_f1fc8cc2125e,0,0,0,0,0,0.0,0.0,0.0,295.9329585303356,1,1,0,0,normal
txn_f533f756b6aa,acc_3ee6a4a479,2026-07-24 00:55:01.550282,dev_dab915428733,0,0,0,0,0,0.0,0.0,0.0,154.0142617539815,1,1,1,1,normal
txn_8b2e54db45fa,acc_7320cf89d1,2026-07-24 01:19:53.792539,dev_389ede02bd0a,0,0,0,0,0,0.0,0.0,0.0,345.7078718880324,1,1,0,0,normal
txn_8a626fd314d0,acc_02c2418e19,2026-07-24 01:20:21.060010,dev_065d3969d97a,0,0,0,0,0,0.0,0.0,0.0,184.06601935541667,1,1,0,0,normal
txn_7fb5cee0098d,acc_53fced8264,2026-07-24 01:21:20.171843,dev_61b9e495ffb8,0,0,0,0,0,0.0,0.0,0.0,62.46076060516204,1,1,0,0,normal
txn_53540bf37c56,acc_ca1de1beca,2026-07-24 01:23:21.802808,dev_d01ead9d6c23,0,0,0,0,0,0.0,0.0,0.0,324.3997151309375,1,1,0,0,normal
txn_c68dcbb7a580,acc_e28923954b,2026-07-24 01:31:29.397580,dev_544de447a176,0,0,0,0,0,0.0,0.0,0.0,94.7549747638889,1,1,0,0,normal
txn_54242aa62e29,acc_6994aa918b,2026-07-24 01:34:08.482064,dev_e1d14c4916fa,0,0,0,0,0,0.0,0.0,0.0,98.51767836539352,1,1,0,0,normal
txn_791edea88495,acc_46060d69d3,2026-07-24 01:37:15.961446,dev_a4239e981a48,0,0,0,0,0,0.0,0.0,0.0,148.34534694373843,1,1,0,0,normal
txn_32d0df00fcb2,acc_4b7e673a31,2026-07-24 01:41:34.805673,dev_fdaa76bee23a,0,0,0,0,0,0.0,0.0,0.0,285.5698304464699,1,1,0,1,normal
txn_7b38785a8193,acc_3bda81577c,2026-07-24 01:42:17.819337,dev_069d79953c61,0,0,0,0,0,0.0,0.0,0.0,163.22879085583335,1,1,0,0,normal
txn_e843ea206500,acc_086c5ceb74,2026-07-24 01:43:37.171696,dev_b99d9645e4c8,0,0,0,0,0,0.0,0.0,0.0,146.1235144332986,1,1,0,0,normal
txn_8b3e0b5c8eaa,acc_9e10150b11,2026-07-24 01:45:03.312809,dev_692470f21b41,0,0,0,0,0,0.0,0.0,0.0,188.05591586827546,1,1,0,0,normal
txn_235b34c66a57,acc_54cd20045b,2026-07-24 01:45:40.167755,dev_abea6bda544f,0,0,0,0,0,0.0,0.0,0.0,163.37397186280091,1,1,0,1,normal
txn_6a4a35c81b04,acc_576bba87e6,2026-07-24 01:46:57.478323,dev_461d9539372f,0,0,0,0,0,0.0,0.0,0.0,55.72405057634259,1,1,0,0,normal
txn_33423b9171f9,acc_5a0d24a833,2026-07-24 01:47:02.796781,dev_6108fa864839,0,0,0,0,0,0.0,0.0,0.0,294.10692604703706,1,1,0,0,normal
txn_a48f3e7f0175,acc_5524f489b6,2026-07-24 01:56:38.768811,dev_233a7fb93999,0,0,0,0,0,0.0,0.0,0.0,274.65243997694444,1,1,0,0,normal
txn_f21d030663c7,acc_c14649eb01,2026-07-24 01:57:03.181179,dev_b4b654997a9c,0,0,0,0,0,0.0,0.0,0.0,287.44128653537035,1,1,0,0,normal
txn_ad0f1dca8086,acc_65537d5df4,2026-07-24 02:00:17.850712,dev_1d129456894f,0,0,0,0,0,0.0,0.0,0.0,80.59029092462963,1,1,0,0,normal
txn_bdf5877cda1b,acc_3a618e4605,2026-07-24 02:02:41.305108,dev_ba417e057ec0,0,0,0,0,0,0.0,0.0,0.0,177.15126961127314,1,1,0,0,normal
txn_600bf00f2671,acc_bccac98c29,2026-07-24 02:10:45.957758,dev_3630de663cab,0,0,0,0,0,0.0,0.0,0.0,324.0918370950695,1,1,0,0,normal
txn_dbe5833919e2,acc_36f93f914c,2026-07-24 02:11:19.111273,dev_5c578468acd0,0,0,0,0,0,0.0,0.0,0.0,329.64001402545136,1,1,0,0,normal
txn_bb9927f405a2,acc_6c1e5cb4f5,2026-07-24 02:16:25.858184,dev_1980e2a2b54d,0,0,0,0,0,0.0,0.0,0.0,252.83871983144678,1,1,0,0,normal
txn_a915cad5cafc,acc_31bdc21b47,2026-07-24 02:18:34.334256,dev_caddbe7e32d5,0,0,0,0,0,0.0,0.0,0.0,330.8774391560648,1,1,0,0,normal
txn_0f6826ada5fe,acc_f8b700ebe6,2026-07-24 02:23:59.900605,dev_8a9fabbf1561,0,0,0,0,0,0.0,0.0,0.0,194.30129772368056,1,1,0,0,normal
txn_7b9aff4ce848,acc_41388413c4,2026-07-24 02:29:10.453540,dev_4cfddf5028b6,0,0,0,0,0,0.0,0.0,0.0,201.41329550728008,1,1,0,0,normal
txn_144fa61076a1,acc_b7850220a4,2026-07-24 02:30:25.146191,dev_e03ee1c56ade,0,0,0,0,0,0.0,0.0,0.0,12.811132470717594,1,1,0,0,normal
txn_51a708d8e15b,acc_8c81fbd953,2026-07-24 02:32:23.775288,dev_8d7f9203c4ed,0,0,0,0,0,0.0,0.0,0.0,281.19787617134256,1,1,0,0,normal
txn_ed127afd24d8,acc_8b97f419b0,2026-07-24 02:36:08.545026,dev_d0afc509f706,0,0,0,0,0,0.0,0.0,0.0,129.91042623409723,1,1,0,0,normal
txn_2e604a5c115e,acc_c53eceb646,2026-07-24 02:37:25.238142,dev_6ca335305382,0,0,0,0,0,0.0,0.0,0.0,317.3432858992361,1,1,0,0,normal
txn_57513b2ba09d,acc_d9e7864664,2026-07-24 02:39:26.241246,dev_9d82880c4b3d,0,0,0,0,0,0.0,0.0,0.0,85.52848775834491,1,1,0,0,normal
txn_f13d32d505ee,acc_a0c8752a01,2026-07-24 02:40:16.938672,dev_bfdfaacccdb0,0,0,0,0,0,0.0,0.0,0.0,132.40251004877314,1,1,0,0,normal
txn_a030374dd6b9,acc_3fdd17750a,2026-07-24 02:41:40.374281,dev_fb4e6a9c03a8,0,0,0,0,0,0.0,0.0,0.0,200.8184980647801,1,1,0,0,normal
txn_415a95a141f5,acc_9152affa20,2026-07-24 02:44:37.967373,dev_db8af5f5dcd3,0,0,0,0,0,0.0,0.0,0.0,115.53744800297453,1,1,1,0,normal
txn_7017e895cae4,acc_02807fa336,2026-07-24 02:46:17.067105,dev_bd2bb114b3c6,0,0,0,0,0,0.0,0.0,0.0,301.76864986696756,1,1,0,0,normal
txn_2b5b43f71163,acc_15ea07ee3c,2026-07-24 02:50:18.525925,dev_5aef63a810f6,0,0,0,0,0,0.0,0.0,0.0,155.26221525658565,1,1,0,0,normal
txn_f606c368afbc,acc_444d5b9d67,2026-07-24 02:51:36.091732,dev_8c34630a53fc,0,0,0,0,0,0.0,0.0,0.0,224.8580153988773,1,1,0,0,normal
txn_7437b381c525,acc_d003ff6022,2026-07-24 02:54:26.147120,dev_526d630442dd,0,0,0,0,0,0.0,0.0,0.0,302.53770137917826,1,1,0,0,normal
txn_5e81d75a5bb1,acc_1b635588dd,2026-07-24 02:55:00.338619,dev_28b8b8eb9c8c,0,0,0,0,0,0.0,0.0,0.0,121.04698473297454,1,1,0,0,normal
txn_ebedba1cd89f,acc_76626a80cc,2026-07-24 02:56:57.789816,dev_ba2edb25f119,0,0,0,0,0,0.0,0.0,0.0,225.20824018760416,1,1,0,0,normal
txn_b980157ede57,acc_1ec8adbb8f,2026-07-24 03:10:07.366522,dev_8ac6d728c432,0,0,0,0,0,0.0,0.0,0.0,24.109698306875,1,1,0,0,normal
txn_2e4bba52ae8e,acc_31bdc21b47,2026-07-24 03:12:11.872305,dev_caddbe7e32d5,1,1,1,0,1,0.0,4.587044789371575,5.1322971135865725,330.9146791797801,1,0,0,0,normal
txn_6666edf84e43,acc_4615312329,2026-07-24 03:12:13.204172,dev_0d40cfa6a16e,0,0,0,0,0,0.0,0.0,0.0,133.69797207850692,1,1,0,0,normal
txn_3c7bb4b1363e,acc_b60681651e,2026-07-24 03:13:29.635164,dev_b3d78dda6278,0,0,0,0,0,0.0,0.0,0.0,208.59263648906247,1,1,0,0,normal
txn_bcc9dddf12e0,acc_50795c8997,2026-07-24 03:16:34.486127,dev_43703e901c59,0,0,0,0,0,0.0,0.0,0.0,62.700239238946764,1,1,0,0,normal
txn_94dc57cc6645,acc_f3ea5ecb91,2026-07-24 03:45:22.166296,dev_b3acaaa6afbc,0,0,0,0,0,0.0,0.0,0.0,176.70461658217593,1,1,0,0,normal
txn_22c240e5125b,acc_d44bc33e55,2026-07-24 03:52:52.102413,dev_df69fd391310,0,0,0,0,0,0.0,0.0,0.0,206.53392509127315,1,1,0,0,normal
txn_f633738e7888,acc_be40f82139,2026-07-24 03:53:32.670024,dev_d59005c10a20,0,1,0,0,1,0.0,13.027634307761124,3.9413710187299595,283.9929947357871,1,0,0,0,normal
txn_14ed0a7a9876,acc_dd00c3fcb5,2026-07-24 04:00:09.149278,dev_e2292c13e15b,0,0,0,0,0,0.0,0.0,0.0,294.80427190050926,1,1,0,0,normal
txn_f7b220a63521,acc_21aff4c642,2026-07-24 04:12:43.258770,dev_958b93a59988,0,0,0,0,0,0.0,0.0,0.0,159.55255370583333,1,1,0,0,normal
txn_b6f8a6fa87c9,acc_c0a5d01fba,2026-07-24 04:36:13.808530,dev_657b6da6b5a4,0,0,0,0,0,0.0,0.0,0.0,183.1719436610764,1,1,0,0,normal
txn_9704cce27c2d,acc_576bba87e6,2026-07-24 04:38:43.765342,dev_461d9539372f,0,1,0,0,1,0.0,7.948861027223538,2.7765479115078326,55.843336305729174,1,0,0,0,normal
txn_29547961923d,acc_dd00c3fcb5,2026-07-24 04:45:30.723224,dev_e2292c13e15b,1,1,1,0,1,0.0,29.443974155215454,38.9474286063641,294.83577159895833,1,0,0,0,normal
txn_07001e814a3e,acc_b7b70d5764,2026-07-24 04:46:28.111319,dev_303709ea335b,0,0,0,0,0,0.0,0.0,0.0,245.61486341278936,1,1,0,0,normal
txn_d16e1680271e,acc_2f44e5621f,2026-07-24 04:49:31.349841,dev_4d450b207743,0,0,0,0,0,0.0,0.0,0.0,124.61449915849536,1,1,0,0,normal
txn_5b1f22e7bcfa,acc_d9e7864664,2026-07-24 04:56:47.398180,dev_0eba6cb54456,0,1,0,0,0,0.0,23.99097989030998,10.480024624794497,85.62387151915509,1,1,0,0,normal
txn_43e27f7f866f,acc_bae1b551f4,2026-07-24 04:58:01.787561,dev_40294b807ebb,0,0,0,0,0,0.0,0.0,0.0,181.66504730225694,1,1,0,0,normal
txn_7f93a2f9598d,acc_84c4230f75,2026-07-24 05:01:49.892390,dev_b5bb06c82c44,0,0,0,0,0,0.0,0.0,0.0,244.91585459458332,0,1,0,0,normal
txn_ef7ca925f321,acc_d7679922bf,2026-07-24 05:02:13.481170,dev_09424abf8c58,0,0,0,0,0,0.0,0.0,0.0,258.37309267204864,0,1,0,0,normal
txn_45ca019d0b9d,acc_5d43f92025,2026-07-24 05:06:36.909223,dev_11208cad48b8,0,0,0,0,0,0.0,0.0,0.0,102.59456775909723,0,1,0,0,normal
txn_607d0d76b18b,acc_b7850220a4,2026-07-24 05:09:47.504295,dev_e03ee1c56ade,0,1,0,0,1,0.0,10.228529832465831,3.8507977840187557,12.92180791173611,0,0,0,0,normal
txn_9f5b201cc31a,acc_88840aeb39,2026-07-24 05:17:26.376455,dev_f29d104c2349,0,0,0,0,0,0.0,0.0,0.0,130.2400814438889,0,1,0,0,normal
txn_b222e08c04e8,acc_938c09c022,2026-07-24 05:18:53.829867,dev_2778de84a794,0,0,0,0,0,0.0,0.0,0.0,356.54140785108797,0,1,0,0,normal
txn_55e2fbb0b671,acc_fec437b53c,2026-07-24 05:37:23.130331,dev_4a72c79c1773,0,0,0,0,0,0.0,0.0,0.0,214.33026802243057,0,1,1,0,normal
txn_63d13fdf80b4,acc_cfcb36add0,2026-07-24 05:53:59.902421,dev_832d73d3c1a8,0,0,0,0,0,0.0,0.0,0.0,271.33419924523145,0,1,0,0,normal
txn_96f810d5d290,acc_c0a5d01fba,2026-07-24 06:06:59.398133,dev_657b6da6b5a4,0,1,0,0,1,0.0,12.636976380958547,8.35412109395618,183.23497131851852,0,0,0,1,normal
