transaction_id,account_id,timestamp,device_id,ip_address,geo_lat,geo_lon,amount,merchant_category,is_new_device,is_new_geo,status,label
txn_7d8be53862a9,acc_a5c2e74b8b,2026-07-24 00:01:11.188849,dev_cef226c056cc,161.168.112.155,19.07872,72.8983,334.87,subscription,False,False,success,normal
txn_663f64fedca5,acc_e36021cd7d,2026-07-24 00:07:43.016218,dev_1fb0f962c163,140.100.211.72,19.26567,72.93417,906.1,gifting,False,False,success,normal
txn_bfcb7b5e6412,acc_68569b994f,2026-07-24 00:18:05.287307,dev_a0ba3838cfb7,199.61.88.205,12.85361,77.67389,1926.99,fashion,False,False,success,normal
txn_c87b8930cc19,acc_7f4e0f67ff,2026-07-24 00:27:37.516182,dev_1c7d0f4bcaf2,56.84.125.187,19.2317,72.95001,1068.49,gifting,False,False,success,normal
txn_4b0f09d8c106,acc_5b38e96f67,2026-07-24 00:27:48.915569,dev_d7ae9b2ecd4f,64.245.253.86,12.9483,77.68155,276.5,travel,False,False,success,normal
txn_06586bdf9950,acc_03cba86df2,2026-07-24 00:29:22.791452,dev_7594eba25176,142.4.28.93,17.34489,78.47774,733.16,b2b_services,False,False,success,normal
txn_f26efe2f9955,acc_9dbf18e319,2026-07-24 00:29:51.735328,dev_e2c122f5edd9,125.68.87.95,17.47677,78.49024,1253.7,gaming,False,False,success,normal
txn_882121a05dfc,acc_1b94deb0b1,2026-07-24 00:35:13.388458,dev_20e9662808d0,223.236.248.209,13.10798,80.28404,2938.48,travel,False,False,success,normal
txn_b1a890c817fc,acc_a6565f3058,2026-07-24 00:35:37.406836,dev_19d3b85bb2e2,220.224.118.198,12.8578,77.63348,437.13,food_delivery,False,False,success,normal
txn_1bceee116dc0,acc_88c4958ee7,2026-07-24 00:42:46.064257,dev_3c94d06d7eb5,209.160.37.1,12.97034,80.30761,1309.74,fashion,False,False,success,normal
txn_98389f6d77f1,acc_39869dcb5e,2026-07-24 00:55:01.550282,dev_234618833379,66.240.126.121,18.42373,73.81705,202.51,b2b_services,False,True,failed,normal
txn_3827ff64c03d,acc_7d84736392,2026-07-24 01:19:53.792539,dev_ee139344fa8c,87.236.174.14,13.10723,77.47779,137.08,gaming,False,False,success,normal
txn_ce5440607a54,acc_4debf8e856,2026-07-24 01:20:21.060010,dev_29836dc989e0,60.182.177.228,18.52751,73.8465,45.31,ecommerce_general,False,False,success,normal
txn_ee03203cfe7d,acc_ca3df3bad5,2026-07-24 01:21:20.171843,dev_301eebb363b9,217.122.128.42,12.95081,77.41351,1030.18,travel,True,False,success,normal
txn_3b8a6311a03f,acc_5487400281,2026-07-24 01:23:21.802808,dev_84936f62cd25,94.253.28.16,17.3207,78.43994,2680.75,fashion,False,False,success,normal
txn_e0d1077c203d,acc_37f2bceb1a,2026-07-24 01:31:29.397580,dev_65c88c2513be,136.157.108.120,18.54991,73.91336,294.52,food_delivery,False,False,success,normal
txn_5586b721cd5d,acc_ad2fb66f0a,2026-07-24 01:34:08.482064,dev_ab9b5867ff3f,157.219.255.64,22.54791,88.43466,3862.57,fashion,False,False,success,normal
txn_5664d1544e79,acc_0d37eb7ae4,2026-07-24 01:37:15.961446,dev_4deeb6b0b485,189.127.160.55,19.2474,72.82027,974.62,b2b_services,False,False,success,normal
txn_af1d6bf4aee6,acc_e17fab0246,2026-07-24 01:41:34.805673,dev_4cd5117b772a,104.85.60.102,13.05163,80.19457,714.81,fashion,False,False,failed,normal
txn_4883b4cb5a46,acc_f553e2c93b,2026-07-24 01:42:17.819337,dev_ea4e8ccdac58,203.173.95.98,28.69983,77.08665,408.41,gaming,False,False,success,normal
txn_5f7e8d782377,acc_3b999a7dbd,2026-07-24 01:43:37.171696,dev_11d6b6c44db1,148.78.101.40,22.42762,88.27952,250.82,ecommerce_general,False,False,success,normal
txn_7fd174ed7f0f,acc_37001d0a19,2026-07-24 01:45:03.312809,dev_bd733c284b67,154.14.157.87,25.56448,85.17064,364.99,food_delivery,False,False,success,normal
txn_19dd3c39bf09,acc_b6738bbcaa,2026-07-24 01:45:40.167755,dev_e36710088909,182.70.130.182,17.22873,78.55915,2501.63,ecommerce_general,False,False,failed,normal
txn_313a494e7fe7,acc_5cf9cb6986,2026-07-24 01:46:57.478323,dev_607c79d920fb,191.183.21.67,12.92722,77.73471,261.78,gaming,False,False,success,normal
txn_0d55ac4aee22,acc_05559de8c8,2026-07-24 01:47:02.796781,dev_978878521078,40.175.76.226,22.62118,88.34817,245.86,gifting,False,False,success,normal
txn_214b73b5fe9b,acc_06ee932de1,2026-07-24 01:56:38.768811,dev_ef8699defa4e,59.115.99.80,17.44913,78.51016,1991.07,gaming,False,False,success,normal
txn_4856c049bd3d,acc_c2ee88c846,2026-07-24 01:57:03.181179,dev_371a0f48477a,182.188.205.169,28.5704,77.12839,411.66,travel,False,False,success,normal
txn_51ba43c51e6a,acc_0fe329b893,2026-07-24 02:00:17.850712,dev_42006f7e17e1,161.176.178.73,22.47959,88.48651,421.0,food_delivery,False,False,success,normal
txn_6c1f39b26377,acc_fe772811bb,2026-07-24 02:02:41.305108,dev_97ceb78c62f0,202.59.167.139,22.76647,88.33084,831.23,ecommerce_general,False,False,success,normal
txn_de16c6234fb7,acc_2b66a30a5a,2026-07-24 02:10:45.957758,dev_2d8f41ce0454,213.144.83.19,12.99914,80.1726,590.77,gaming,False,False,success,normal
txn_63b9a8b4b2a3,acc_bc7b06dcbe,2026-07-24 02:11:19.111273,dev_f6e4bb8eb2d4,198.221.178.246,18.50354,73.76378,1627.03,subscription,False,False,success,normal
txn_108e550007c8,acc_b35d207495,2026-07-24 02:16:25.858184,dev_52506ac9bebb,130.243.244.63,17.45415,78.46439,1853.37,gifting,False,False,success,normal
txn_4f2c04349613,acc_eaa44e1c82,2026-07-24 02:18:34.334256,dev_5a2cf46e2a48,11.205.160.198,18.53613,73.77708,546.53,electronics,False,False,success,normal
txn_fa21c3534704,acc_77f837505f,2026-07-24 02:23:59.900605,dev_3ebbfecfb73d,4.221.233.40,18.55402,73.83033,5925.88,ecommerce_general,False,False,success,normal
txn_0e48ef5249df,acc_0716ae5f59,2026-07-24 02:29:10.453540,dev_522db29f2bec,214.39.73.142,18.99197,72.82775,365.62,travel,False,False,success,normal
txn_64e78af2656f,acc_43f8b0ef6e,2026-07-24 02:30:25.146191,dev_827ea73c3b9d,30.250.6.179,19.09471,72.79392,2659.43,b2b_services,False,False,success,normal
txn_b61267fc15a0,acc_48f99f8bbb,2026-07-24 02:32:23.775288,dev_6cd1dcfae139,159.216.244.173,19.1302,72.69016,236.31,travel,False,False,success,normal
txn_0fb7d417f7de,acc_a2dfdf2e15,2026-07-24 02:36:08.545026,dev_7a1bf9e80f24,138.229.36.27,19.11384,72.83836,335.0,electronics,False,False,success,normal
txn_0e6fb83836c6,acc_838c60a6ee,2026-07-24 02:37:25.238142,dev_9199aa013853,199.140.254.107,17.42527,78.44031,95.47,b2b_services,False,False,success,normal
txn_db18d459b84a,acc_03cfc17893,2026-07-24 02:39:26.241246,dev_f7b0873ff310,36.227.21.39,22.46208,88.47397,250.93,b2b_services,False,False,success,normal
txn_e0558527ddae,acc_d9b7649eb5,2026-07-24 02:40:16.938672,dev_3a183f2f5f9e,203.141.42.157,18.51053,73.91481,433.13,fashion,False,False,success,normal
txn_46f2bb82f700,acc_9681181d44,2026-07-24 02:41:40.374281,dev_c4c02d6056c0,223.234.122.104,13.09677,80.3637,887.63,ecommerce_general,False,False,success,normal
